1585151762,2,2,3
1585151773,2,2,3
1585151822,2,2,3
1585151833,2,2,3
1585151882,2,2,3
1585151947,2,2,3
1585152014,2,2,3
1585152034,2,2,3
1585152095,2,2,3
1585152130,2,2,3
1585152190,2,2,3
1585154783,2,2,3
1585154843,2,2,3
1585154903,2,2,3
1585154963,2,2,3
1585155023,2,2,3
1585155083,2,2,3
1585155144,2,2,3
1585155204,2,2,3
1585155264,2,2,3
1585155324,2,2,3
1585155384,2,2,3
1585155444,2,2,3
1585155504,2,2,3
1585155565,2,2,3
1585155625,2,2,3
1585155685,2,2,3
1585155745,2,2,3
1585155805,2,2,3
1585155865,2,2,3
1585155926,2,2,3
1585155986,2,2,3
1585156046,2,2,3
1585156106,2,2,3
1585156166,2,2,3
1585156226,2,2,3
1585156287,2,2,3
1585156347,2,2,3
1585156407,2,2,3
1585156467,2,2,3
1585156527,2,2,3
1585156587,2,2,3
1585156647,2,2,3
1585156708,2,2,3
1585156768,2,2,3
1585156828,2,2,3
1585156888,2,2,3
1585156948,2,2,3
1585157008,2,2,3
1585157068,2,2,3
1585157129,2,2,3
1585157189,2,2,3
1585157249,2,2,3
1585157309,2,2,3
1585157369,2,2,3
1585157429,2,2,3
1585157490,2,2,3
1585157550,2,2,3
1585157610,2,2,3
1585157670,2,2,3
1585157730,2,2,3
1585157790,2,2,3
1585157850,2,2,3
1585157910,2,2,3
1585157971,2,2,3
1585158031,2,2,3
1585158091,2,2,3
1585158151,2,2,3
1585158211,2,2,3
1585158271,2,2,3
1585158332,2,2,3
1585158392,2,2,3
1585158452,2,2,3
1585158512,2,2,3
1585158572,2,2,3
1585158632,2,2,3
1585158692,2,2,3
1585158753,2,2,3
1585158813,2,2,3
1585158873,2,2,3
1585158933,2,2,3
1585158993,2,2,3
1585159053,2,2,3
1585159114,2,2,3
1585159174,2,2,3
1585159234,2,2,3
1585159294,2,2,3
1585159354,2,2,3
1585159414,2,2,3
1585159474,2,2,3
1585159535,2,2,3
1585159595,2,2,3
1585159655,2,2,3
1585159715,2,2,3
1585159775,2,2,3
1585159836,2,2,3
1585159896,2,2,3
1585159956,2,2,3
1585160016,2,2,3
1585160076,2,2,3
1585160136,2,2,3
1585160196,2,2,3
1585160257,2,2,3
1585160317,2,2,3
1585160377,2,2,3
1585160437,2,2,3
1585160497,2,2,3
1585160557,2,2,3
1585160618,2,2,3
1585160678,2,2,3
1585160738,2,2,3
1585160798,2,2,3
1585160858,2,2,3
1585160918,2,2,3
1585160978,2,2,3
1585161038,2,2,3
1585161099,2,2,3
1585162662,2,2,3
1585162723,2,2,3
1585162783,2,2,3
1585162843,2,2,3
1585162903,2,2,3
1585162963,2,2,3
1585162995,2,2,3
1585163024,2,2,3
1585163055,2,2,3
1585163084,3,3,2
1585163116,3,3,2
